corpus_id,simulation_id,model_order,regularity,regularity_label,regularity_label_readable,dependency,dependency_readable,uncertainty_z,block_1,block_2,block_3,block_4,block_5,block_6,block_7,block_8,block_9,block_10,early_drop,later_mean_drop,early_minus_later
high_100__nonadjacent__sim11,11,3-gram,1,high_100,100% regular,nonadjacent,Non-adjacent,-1,2.8197705400842867,2.2077047775257537,2.08592565669613,2.053876476577278,2.057538829232841,2.0433052777865783,2.0385105671815458,2.0345445598566396,2.0277573837075846,2.0261126391400768,0.6120657625585331,0.02269901729820961,0.5893667452603235
low_60__adjacent__sim11,11,2-gram,0.6,low_60,60% regular,adjacent,Adjacent,1,2.1422454125942187,1.9989866801560965,1.99414037286932,1.98272387944286,1.989636645956415,1.972046681374423,1.9756870324844396,1.995693795606184,1.9916134205436504,1.965286346329084,0.14325873243812226,0.004212541728376568,0.1390461907097457
low_60__adjacent__sim11,11,3-gram,0.6,low_60,60% regular,adjacent,Adjacent,1,2.4715411361736543,2.075954357288088,2.0271029510440055,2.006327310976307,2.0121174614834785,1.9896602615544143,1.9846207249257717,2.011578413166703,1.9969072565732795,1.9634859151211477,0.3955867788855665,0.014058555270867523,0.38152822361469896
low_60__nonadjacent__sim11,11,2-gram,0.6,low_60,60% regular,nonadjacent,Non-adjacent,1,2.2939007659008803,2.0400778135009725,2.020509218430727,2.0111464662970233,1.9955249576354603,2.00607667234642,2.008791933478798,2.013065019544552,2.009562750845087,1.983303154214864,0.2538229523999078,0.007096832410763559,0.24672611998914426
low_60__nonadjacent__sim11,11,3-gram,0.6,low_60,60% regular,nonadjacent,Non-adjacent,1,2.7792291864440952,2.2146958357143367,2.099949185091422,2.085391545103441,2.0193699006498926,2.034693199031666,2.0251753598392273,2.02160811708401,2.035041407499433,1.9851607194956415,0.5645333507297585,0.028691889527336895,0.5358414612024216
mid_80__adjacent__sim11,11,2-gram,0.8,mid_80,80% regular,adjacent,Adjacent,-2.7755575615628914e-16,1.901383018934758,1.7691255817247835,1.7255398273127591,1.715895313890718,1.6734319753772908,1.7482092847737634,1.737337529019239,1.829967525062578,1.747251367847341,1.6845923806498224,0.13225743720997452,0.010566650134370137,0.12169078707560438
mid_80__adjacent__sim11,11,3-gram,0.8,mid_80,80% regular,adjacent,Adjacent,-2.7755575615628914e-16,2.201211671114641,1.8577915565712912,1.769301631256972,1.7473778725257283,1.6917530274754278,1.7613455100284667,1.7523776794507455,1.8429433480545356,1.7535014132912583,1.687580377161844,0.34342011454334975,0.0212763974261809,0.3221437171171688
mid_80__nonadjacent__sim11,11,2-gram,0.8,mid_80,80% regular,nonadjacent,Non-adjacent,-2.7755575615628914e-16,2.309533444600107,2.019931254489612,2.016887422130795,2.025006024360166,2.011129559657761,2.0116242137195424,2.0042122080478557,2.0081290753080054,2.0153194011915097,2.0034568575126395,0.2896021901104948,0.002059299622121591,0.2875428904883732
mid_80__nonadjacent__sim11,11,3-gram,0.8,mid_80,80% regular,nonadjacent,Non-adjacent,-2.7755575615628914e-16,2.8456443166464305,2.127503412635776,2.1167436996259403,2.0641812942145963,2.0597392788232547,2.0569370392921327,2.017324892437064,2.0242258795892427,2.0464432331073388,2.0188175613206796,0.7181409040106543,0.01358573141438707,0.7045551725962673
high_100__adjacent__sim12,12,2-gram,1,high_100,100% regular,adjacent,Adjacent,-1,1.128781198314511,1.0143801462723974,1.0054495363238152,1.0035097346133195,1.006317414006181,1.006172241664652,1.004193931195273,1.0028017915439915,1.0033785828765185,1.0016068574367936,0.1144010520421137,0.0015966611044504753,0.11280439093766323
