model_order,regularity_label,dependency,exposure_block,mean,sd,n_corpora,se,critical_t,ci95
3-그램,100% 규칙,비인접,10,2.0229654260246175,0.01061396018326419,30,0.0019378351389451546,2.0452296421327034,0.003963317867736976
3-그램,80% 규칙,인접,1,2.197688843533108,0.055222063596047616,30,0.010082123301180043,2.0452296421327034,0.02062025743121025
3-그램,80% 규칙,인접,2,1.8162213071104147,0.04956744366987034,30,0.009049735671951546,2.0452296421327034,0.01850878764974102
3-그램,80% 규칙,인접,3,1.768143792775614,0.05300366674129423,30,0.009677101301564397,2.0452296421327034,0.01979189443188047
3-그램,80% 규칙,인접,4,1.753425285824392,0.04619864071930707,30,0.008434679216013725,2.0452296421327034,0.017250855954471903
3-그램,80% 규칙,인접,5,1.7373051904538201,0.04785739439820536,30,0.008737524818439483,2.0452296421327034,0.0178702447575426
3-그램,80% 규칙,인접,6,1.7357083763427503,0.05589592845491768,30,0.010205153629151099,2.0452296421327034,0.02087188270485796
3-그램,80% 규칙,인접,7,1.7459775707074643,0.04560192221753714,30,0.008325733821380365,2.0452296421327034,0.01702803760399391
3-그램,80% 규칙,인접,8,1.739445958257714,0.04933897632427473,30,0.009008023432339533,2.0452296421327034,0.01842347654084679
3-그램,80% 규칙,인접,9,1.749806764987167,0.04456579851185737,30,0.008136564379391482,2.0452296421327034,0.016641142653852543
3-그램,80% 규칙,인접,10,1.7221928117529894,0.053359907696700674,30,0.00974214170395883,2.0452296421327034,0.019924916990793802
3-그램,80% 규칙,비인접,1,2.8235813693933944,0.03230749726575037,30,0.005898515009662652,2.0452296421327034,0.012063817742326725
3-그램,80% 규칙,비인접,2,2.1710706600394842,0.031102422659683545,30,0.0056784994945895005,2.0452296421327034,0.011613835489170022
3-그램,80% 규칙,비인접,3,2.100637058999126,0.01899962304919851,30,0.00346884070938037,2.0452296421327034,0.0070945758426613674
3-그램,80% 규칙,비인접,4,2.0597734900440647,0.019656314210649065,30,0.003588735563527282,2.0452296421327034,0.007339788352301809
3-그램,80% 규칙,비인접,5,2.0520369516474246,0.012791729577354851,30,0.002335439613007759,2.0452296421327034,0.004776510323934399
3-그램,80% 규칙,비인접,6,2.0435760359885387,0.010612354707584036,30,0.0019375420205299725,2.0452296421327034,0.003962718373265591
3-그램,80% 규칙,비인접,7,2.033083201723955,0.014253743510336356,30,0.0026023656165013644,2.0452296421327034,0.005322435298535538
3-그램,80% 규칙,비인접,8,2.0290783380959514,0.011474027252437092,30,0.002094861183862939,2.0452296421327034,0.004284472189389691
3-그램,80% 규칙,비인접,9,2.02765175236014,0.008609082853517575,30,0.0015717962927675065,2.0452296421327034,0.003214684369362397
3-그램,80% 규칙,비인접,10,2.0224735391689572,0.010337031200575263,30,0.0018872750553965937,2.0452296421327034,0.003859910886154753
3-그램,60% 규칙,인접,1,2.4700097013366507,0.027703380643236394,30,0.005057922165817517,2.0452296421327034,0.010344612341130028
3-그램,60% 규칙,인접,2,2.0480017698389412,0.02019866728504388,30,0.003687755234520055,2.0452296421327034,0.007542306318570456
3-그램,60% 규칙,인접,3,2.024130196292408,0.024927817290650568,30,0.004551175946485543,2.0452296421327034,0.009308199952313594
3-그램,60% 규칙,인접,4,2.0019500303368054,0.021202707012291218,30,0.0038710669702682883,2.0452296421327034,0.00791722091427354
3-그램,60% 규칙,인접,5,1.9968307543522859,0.020140394231905945,30,0.003677116079287273,2.0452296421327034,0.007520546802921119
3-그램,60% 규칙,인접,6,1.9941460341248909,0.02106675831912002,30,0.003846246248297217,2.0452296421327034,0.00786645683795917
3-그램,60% 규칙,인접,7,1.9852215881922535,0.01873610447481052,30,0.0034207290202090683,2.0452296421327034,0.006996176389835146
3-그램,60% 규칙,인접,8,1.9863378407153531,0.019774382101358023,30,0.0036102917125467324,2.0452296421327034,0.007383875627246618
3-그램,60% 규칙,인접,9,1.9812157717545076,0.022199873452159607,30,0.004053123821169301,2.0452296421327034,0.008289568982289624
3-그램,60% 규칙,인접,10,1.9851476206669536,0.019400779363478605,30,0.00354208149685265,2.0452296421327034,0.0072443700722128156
3-그램,60% 규칙,비인접,1,2.8352373732452096,0.034768222844110436,30,0.006347779978695236,2.0452296421327034,0.012982667774163998
3-그램,60% 규칙,비인접,2,2.166844284388228,0.0280253940993985,30,0.005116713510404246,2.0452296421327034,0.010464854141779644
3-그램,60% 규칙,비인접,3,2.090976656962766,0.02166404571334362,30,0.003955295508007133,2.0452296421327034,0.008089487616370518
3-그램,60% 규칙,비인접,4,2.0654567431098734,0.01946537940431315,30,0.0035538757967129284,2.0452296421327034,0.007268492123895259
